"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Mlxipl","transcription factor","glucose-responsive transcriptional activator; induces lipogenic gene expression; binds E-box sequences; regulates glycolysis and fatty acid synthesis","PKLR; FASN; ACACA; APOC4; PCX; MLX (dimerization partner)","nucleus; cytoplasm (glucose-regulated shuttling)","liver; adipose tissue; intestine; pancreas","hepatocytes; adipocytes; pancreatic beta-cells","Carbohydrate response element binding; ChREBP pathway; insulin signaling; lipogenesis; glycolysis","abnormal glucose homeostasis; insulin resistance; decreased adipose tissue; male infertility; abnormal liver","moderate","expressed in hippocampus; hippocampal transcriptome changes in suicide",NA,NA,NA,"type 2 diabetes susceptibility locus; dyslipidemia GWAS hits","drives hepatic lipogenesis during high-carbohydrate feeding; required for glucose-stimulated insulin secretion indirectly","Glucose-sensing transcription factor (ChREBP) that couples carbohydrate intake to de novo lipogenesis and is a major determinant of triglyceride levels"
"Htra1","protease","serine protease; cleaves ECM substrates including fibronectin, proteoglycans, IGF-binding proteins; inhibits TGF-beta signaling; intracellular substrates include BIRC5/survivin; activates FGF signaling by releasing glycosaminoglycan-bound FGF","Fibronectin; Aggrecan; Decorin; Fibromodulin; IGFBP3; TGF-beta; BIRC5; ARMS2","extracellular; cytoplasm; nucleus","brain; retina; bone; lung; ovary; skin","osteoblasts; retinal pigment epithelium; synovial cells; neural cells","TGF-beta signaling (inhibition); IGF signaling; FGF signaling; VEGF signaling; anti-apoptotic pathways","increased trabecular bone thickness; increased bone volume","mild","promotes neuronal survival and maturation; regulates retinal angiogenesis",NA,"head and neck squamous cell carcinoma; multiple cancers","dysregulated in HNSCC and other malignancies; context-dependent pro- or anti-tumorigenic","age-related macular degeneration; CARASIL (cerebral arteriopathy); lacunar stroke","promotes osteogenic differentiation of MSCs; regulates neuronal maturation","Extracellular serine protease that remodels ECM by degrading proteoglycans and fibronectin and inhibits TGF-beta signaling"
"Nphs1","adhesion molecule","structural component of podocyte slit diaphragm; anchors slit diaphragm to actin cytoskeleton; regulates glomerular filtration barrier permeability; regulates myoblast fusion","NEPH1; CD2AP; Podocin; Nephrin signaling complex; actin cytoskeleton","plasma membrane (slit diaphragm)","kidney (podocytes); skeletal muscle (myoblasts)","podocytes; myoblasts","Nephrin-Neph1 signaling; PI3K/Akt pathway; actin cytoskeleton regulation; glomerular filtration","absent podocyte slit diaphragm; proteinuria; renal failure; postnatal lethality","lethal",NA,NA,NA,NA,"congenital nephrotic syndrome (Finnish type); focal segmental glomerulosclerosis","required for podocyte foot process formation and glomerular filtration barrier; secondary role in myoblast fusion","Transmembrane adhesion protein forming the podocyte slit diaphragm and essential for kidney glomerular filtration barrier integrity"
"Tbx1","transcription factor","transcriptional regulator; binds palindromic T-site DNA; promotes pharyngeal arch segmentation; regulates second heart field development; cooperates with NKX2-5 for PITX2 expression; regulates hair follicle stem cell self-renewal","PITX2; FGF8; downstream pharyngeal targets","nucleus","pharyngeal arch; heart; inner ear; hair follicle; thymus; parathyroid","second heart field progenitors; cardiopharyngeal mesoderm progenitors; hair follicle stem cells; inner ear cells","T-box signaling; FGF8 signaling; Notch signaling; cardiac second heart field development","cardiovascular malformations; deafness; abnormal inner ear; circling behavior; absent thymus; absent parathyroid","severe","deafness; cochlear and semicircular canal defects; vestibulo-cerebellar lobule dysplasia (paraflocculus/flocculus) in 22q11DS","vestibulo-cerebellar lobule dysplasia in 22q11DS mouse models",NA,NA,"22q11.2 deletion syndrome (DiGeorge syndrome); congenital heart disease","specifies cardiopharyngeal mesoderm identity; drives hair follicle stem cell self-renewal; promotes myoblast commitment during craniofacial myogenesis","T-box transcription factor deleted in DiGeorge/22q11DS whose haploinsufficiency causes cardiac, thymic, and inner ear defects"
"Myod1","transcription factor","transcriptional activator of muscle-specific genes; binds E-box (CANNTG) sequences; master regulator of myogenic commitment; heterodimerizes with E proteins; repressed by Twist via basic domain interaction","Muscle-specific gene promoters; MYOG; MYF5; E-protein heterodimers","nucleus","skeletal muscle; satellite cells","myoblasts; satellite cells; fibroblasts (upon forced expression)","Myogenic regulatory factor network; E-box binding; PI3K/Akt signaling; PRMT5-mediated methylation","no gross phenotype (compensated by Myf5); delayed muscle regeneration; increased satellite cells","mild",NA,NA,"rhabdomyosarcoma","expressed in ERMS; prognostic in rhabdomyosarcoma",NA,"master regulator of myogenic commitment; induces transdifferentiation of fibroblasts to myoblasts; required for muscle regeneration","Pioneer transcription factor and master regulator of skeletal myogenesis that binds E-boxes to activate muscle-specific gene programs"
"Xk","transporter","lipid scramblase-related protein; recruits VPS13A lipid transfer protein from lipid droplets to ER membrane; regulates membrane lipid asymmetry (phosphatidylserine exposure) together with VPS13A","VPS13A; lipid droplets; ER membrane","plasma membrane; ER membrane interface","brain; skeletal muscle; erythrocytes; testis; epidermis","neurons; skeletal muscle fibers; erythrocytes","Lipid homeostasis; VPS13A lipid transfer; membrane lipid asymmetry; phosphatidylserine regulation","abnormal erythrocytes; abnormal axons; abnormal skeletal muscle fiber morphology; abnormal myelin sheath","moderate","abnormal axon morphology; abnormal myelination",NA,NA,NA,"McLeod syndrome (neurodegeneration; acanthocytosis; cardiomyopathy); Chorea-Acanthocytosis (via VPS13A partner)",NA,"McLeod syndrome protein that recruits the lipid transfer bridge VPS13A to ER-membrane contact sites; mutations cause neurodegeneration with acanthocytosis"
"Eps8","scaffold/adaptor","actin-capping and bundling protein; Rac-GEF activator in complex with SOS1/ABI1; regulates axonal filopodia and stereocilia length; substrate of EGFR kinase","ABI1; SOS1; Rac1; BAIAP2; actin filament barbed ends","cytoplasm; plasma membrane; lamellipodia; filopodia","testis; cochlea; brain; epithelium","cochlear hair cells; spermatocytes; neurons; epithelial cells","EGFR/Ras signaling; Rac GEF activation; actin dynamics; Rho GTPase signaling","no gross phenotype; short cochlear hair cell stereocilia; abnormal NMDA currents; abnormal motor coordination; alcohol preference","mild-moderate","abnormal excitatory postsynaptic currents; enhanced NMDA currents; abnormal motor coordination","short cochlear hair cell stereocilia; abnormal motor coordination","head and neck squamous cell carcinoma; multiple carcinomas","overexpressed in most malignant tumors; promotes proliferation and metastasis",NA,"regulates stereocilia length in cochlear hair cells; required for correct synaptic signaling","Actin regulatory scaffold that caps barbed ends and activates Rac via SOS1/ABI1; overexpressed in cancer and controls stereocilia length"
"Cntnap1","adhesion molecule","paranodal axo-glial junction organizer; interacts with Contactin-1 (CNTN1); demarcates paranodal region; required for saltatory conduction; organizes radial and longitudinal myelinated axon architecture","CNTNAP2; Contactin-1; Caspr2; paranodal junction proteins","plasma membrane (paranodal axo-glial junction)","peripheral and central nervous system; myelinated axons","Schwann cells; oligodendrocytes; myelinated axons (paranodal)","Axo-glial junction signaling; myelination; saltatory conduction; Caspr/Contactin complex","ataxia; tremors; weakness; paresis; kyphosis; abnormal Purkinje cell morphology; hypermyelination; lethal at weaning","severe/lethal","ataxia; tremors; paresis; abnormal Purkinje cell morphology; abnormal cerebellar molecular layer; abnormal nerve conduction","abnormal Purkinje cell morphology; abnormal cerebellar molecular layer","clear cell renal cell carcinoma","diagnostic/prognostic marker in ccRCC","arthrogryposis multiplex congenita; severe hypomyelinating neuropathy (CNTNAP1 biallelic mutations)",NA,"Paranodal junction protein (CASPR1) essential for organizing nodes of Ranvier and saltatory conduction in myelinated axons"
"Myh11","structural protein","smooth muscle myosin heavy chain; ATP-hydrolysis-driven force generator; mediates smooth muscle contraction in blood vessels, gut, and bladder; part of thick filaments","Actin (smooth muscle); myosin regulatory light chains","sarcomere; thick filaments; cytoplasm","smooth muscle (vascular; gastrointestinal; bladder; airway); heart (minimal)","vascular smooth muscle cells; gastrointestinal smooth muscle; bladder detrusor muscle","Actin-myosin cross-bridge cycling; smooth muscle contraction; phenotypic switching in VSMCs","dilated cardiomyopathy; urinary bladder distension; intestinal hypoperistalsis; neonatal lethality; decreased blood pressure","severe/lethal",NA,NA,"NA (lineage tracing tool)","VSMC lineage tracing marker in atherosclerosis; SMC phenotypic switching in aortic aneurysm",NA,NA,"Smooth muscle-specific myosin heavy chain isoform required for vascular tone and visceral smooth muscle contraction"
"Gfap","structural protein","class III intermediate filament; astrocyte cytoskeletal scaffold; maintains astrocyte shape and blood-brain barrier integrity; modulates synaptic plasticity; regulates oligodendrocyte function","Vimentin; Nestin; other IF proteins (co-polymerization)","cytoplasm (intermediate filament network)","brain (astrocytes); spinal cord; cerebellum; retina","astrocytes; Bergmann glia; radial glia; some neural progenitors","Intermediate filament assembly; astrocyte function; BBB maintenance; glial scar formation","reduced LTD; abnormal blood-brain barrier; abnormal myelination; hydrocephaly; increased injury susceptibility","moderate","reduced long-term depression; abnormal astrocyte morphology; BBB dysfunction; hydrocephaly","strongly expressed in cerebellar Bergmann glia and astrocytes; GFAP-Cre used to target cerebellar glia; medulloblastoma diagnostic marker (glial differentiation marker)","medulloblastoma (glial differentiation marker); glioblastoma","expressed in glial cells and glioma; used diagnostically; marks astroglial lineage in MB","Alexander disease (gain-of-function mutations); astrogliosis in neurodegeneration","marks astrocyte identity; required for astrocyte morphological maturation and oligodendrocyte homeostasis","Canonical astrocyte intermediate filament that maintains glial cytoskeletal integrity and modulates synaptic plasticity; diagnostic marker of astrocytic differentiation"
"Ptch1","receptor","Sonic/Indian/Desert Hedgehog receptor; inhibits Smoothened (SMO) in ligand-absent state; acts as tumor suppressor; ligand-bound PTCH1 releases SMO inhibition allowing GLI activation","SHH; IHH; DHH; SMO","plasma membrane; primary cilium","skin; brain (cerebellum); bone; gut; neural tube","granule neuron precursors; basal keratinocytes; chondrocytes; intestinal epithelium","Hedgehog/SMO/GLI signaling pathway; primary cilia signaling","increased medulloblastoma; increased rhabdomyosarcoma; increased skin tumors; polydactyly; open neural tube; embryonic lethality (homozygous)","severe/lethal","increased medulloblastoma incidence","required to restrain GNP proliferation; Ptch1 heterozygous mice develop SHH-MB","medulloblastoma (SHH subgroup); basal cell carcinoma; rhabdomyosarcoma; Gorlin syndrome-associated tumors","tumor suppressor; haploinsufficiency drives SHH-medulloblastoma","Gorlin syndrome; nevoid BCC syndrome","restrains GNP proliferation by inhibiting Hedgehog signaling; loss drives GNP over-expansion and medulloblastoma","Hedgehog receptor and tumor suppressor whose heterozygous loss drives SHH-subgroup medulloblastoma by releasing Smoothened-mediated GNP over-proliferation"
